68	351455.9572232319	[1.80130642 2.57523963 3.72027365] 0.6694111111111111	[175.73514731 210.56564643 217.49762007] 0.1650222222222222	[108.54369967 104.36407851 105.42931626] 0.038288888888888886	[234.41936252 214.83137462 123.75538966] 0.011233333333333333	[146.09691113 176.6738814  181.70776115] 0.11604444444444445
69	370557.01227726706	[1.10299936 1.67077684 2.4765143 ] 0.7926888888888889	[2.34467545e+02 2.26931527e+02 1.28393853e-01] 0.0546	[162.08480552 201.7782573  124.9830311 ] 0.1116111111111111	[195.58079711 128.32268114  96.50862481] 0.029222222222222222	[80.28764238 73.59603486 54.20408443] 0.011877777777777777
70	326659.813490415	[3.48797411 4.65030712 6.3043791 ] 0.6278555555555555	[241.88879811 184.56122847 184.43259181] 0.08581111111111112	[236.22462718 228.54279469   1.01509951] 0.06984444444444445	[163.93657612 202.63491206 124.94073637] 0.1524	[224.58500803 129.2965606  139.29490747] 0.06408888888888889
71	349648.9409694892	[2.1989143  3.02067986 3.85733061] 0.6664222222222222	[163.95730749 200.207825   124.2454144 ] 0.17671111111111112	[148.96386256 103.94891312  67.02560763] 0.02992222222222222	[230.57225432 223.41486279   1.67323881] 0.10521111111111112	[236.61790896 181.90101697 181.9249626 ] 0.021733333333333334
72	345263.1818700923	[1.26445139e-01 1.77766765e+02 2.29958861e+02] 0.10616666666666667	[1.18888495 1.67090794 2.62737471] 0.7906888888888889	[167.98064486   3.7369422   43.34295814] 0.04201111111111111	[151.6779175  138.37030343 133.59914966] 0.048688888888888886	[45.63873217 70.1102935  83.75797126] 0.012444444444444444
73	347015.8899866045	[3.27318968 4.91714467 7.63292964] 0.5692888888888888	[146.92732659 135.47434422 130.59994189] 0.16394444444444445	[160.79540443   2.49749247  40.09600911] 0.07825555555555555	[1.39344406e-01 1.78326659e+02 2.30682290e+02] 0.15855555555555556	[57.68745978 67.61899935 75.15195098] 0.029955555555555555
74	335100.18555050436	[176.96147002 170.19541151 136.94761556] 0.07483333333333334	[0.65767305 0.99168683 1.45319306] 0.8032555555555555	[218.24653298 209.27976419 168.43460323] 0.10233333333333333	[83.50552955 84.13306569 75.37135122] 0.015766666666666665	[251.20877941 251.33757687 251.4310343 ] 0.003811111111111111
75	360523.11161131645	[0.43861208 0.69083603 1.03938724] 0.7719222222222222	[136.36843577 135.38159591 128.46154149] 0.12764444444444445	[51.51545549 54.72022864 56.84279018] 0.022877777777777778	[110.08679898 109.36203614 103.12260493] 0.0758888888888889	[210.23195552 118.66089122 137.13484602] 0.0016666666666666668
76	370587.4206261756	[2.96109788 4.35728927 6.2496682 ] 0.4351555555555556	[188.7411019  132.07513806  82.20833597] 0.24222222222222223	[124.16646296 122.20221346  68.57978294] 0.26443333333333335	[67.42251602 62.45195024 45.20149091] 0.04271111111111111	[236.88243569 227.16665747 186.48796342] 0.015477777777777778
77	326915.99859991245	[1.56190536 1.85430549 2.50268874] 0.6589222222222222	[242.78158214 234.92487735 166.37462895] 0.17216666666666666	[229.82908856  85.53341824   4.65074155] 0.07547777777777778	[252.80331365 222.24527546   0.48661768] 0.06794444444444445	[116.65474353  96.38056009  96.806363  ] 0.025488888888888887
78	329599.43427448365	[239.54650154 231.87721022 164.01389214] 0.18783333333333332	[1.67070522 2.20452253 3.00512717] 0.5783111111111111	[230.74582173  85.56659758   4.31048112] 0.13261111111111112	[251.71290496 221.0885478    0.43622884] 0.07284444444444445	[111.12596641  84.07772084  71.83449962] 0.0284
79	317995.7656357092	[1.68929324 2.24669627 3.35135925] 0.5605333333333333	[233.40114197 131.04087352 150.82083567] 0.35157777777777777	[243.80368231 230.48905797 165.014715  ] 0.042633333333333336	[114.53105562  74.8141051   75.59951596] 0.019566666666666666	[247.83428449 247.86317724 247.99167187] 0.02568888888888889
80	360376.3606024329	[230.42161202 129.41328085 148.98509131] 0.29796666666666666	[86.01657249 84.13313891 78.03331619] 0.03337777777777778	[172.89163869 197.40257969 136.80402286] 0.1375888888888889	[3.00329446 4.1855702  6.24555713] 0.4489222222222222	[252.4045958  240.65868235 187.71688157] 0.08214444444444445
81	325243.2035924721	[133.3813484  184.81462077 161.54740664] 0.08126666666666667	[2.24018057 3.01784387 4.15120339] 0.7668666666666667	[126.24501679 165.75656501 194.88903269] 0.09462222222222222	[218.20279463   1.01984834  31.13747875] 0.0064	[234.43238138 236.89285505 236.572612  ] 0.05084444444444444
82	336746.5944231325	[116.82909169 159.98243927 191.08742066] 0.14553333333333332	[4.56374941 5.79443008 7.6385921 ] 0.5928777777777777	[207.42283515   1.69410566  29.57295371] 0.022211111111111112	[129.48794239 179.42826403 156.77878576] 0.1766	[234.01129683 237.32086707 235.69969669] 0.06277777777777778
83	367748.6790439057	[183.00740704 115.97928304  75.28321075] 0.17394444444444446	[3.23167299 3.39798869 3.9694845 ] 0.7084444444444444	[225.8902954  225.26417394 181.94102971] 0.0573	[246.94443602 204.95844896  61.06032654] 0.04755555555555555	[105.94366496 181.68173772  88.69738497] 0.012755555555555555
84	353028.23170610744	[1.3712313  1.91414389 3.02290355] 0.8286777777777777	[198.8106498  108.23233507   0.24927028] 0.11871111111111111	[183.43530589 151.4104502   88.14265468] 0.027444444444444445	[247.12932044 236.16356207 190.93283382] 0.012088888888888889	[89.28714977 67.22488902 41.62845345] 0.013077777777777778
85	361091.85693596845	[209.6073916  183.69101934 134.43127123] 0.04855555555555555	[1.23471142 1.67676413 2.52974526] 0.8200888888888889	[191.53778389 104.19807762   0.64631476] 0.08285555555555556	[226.71651613 128.74649642 165.85699528] 0.010866666666666667	[85.91503849 77.74997896 67.92119138] 0.03763333333333333
86	350821.4337483807	[206.12343742 229.25669725 228.45896056] 0.31372222222222224	[1.31142234 2.01380323 3.03104495] 0.6468666666666667	[ 92.53877863 102.07610322 103.59224474] 0.015922222222222223	[236.13323743 227.39369715 140.02148955] 0.017466666666666665	[229.32785255 128.88560505 148.4298706 ] 0.006022222222222222
87	341042.73952000926	[1.19165817 1.79232092 2.67818622] 0.6772555555555556	[254.78490616 254.79473484 254.79473209] 0.2639444444444444	[ 98.05826597 100.77108702 105.19277294] 0.0148	[207.93463739 208.72190813 209.10642411] 0.04038888888888889	[223.34615312 125.57583079 144.7528819 ] 0.003611111111111111
88	351722.5275395665	[133.74003423 140.47251069 191.45251462] 0.4041222222222222	[1.98035204 3.11640814 4.90171194] 0.5452111111111111	[196.11258121 158.86535159 194.43381863] 0.019066666666666666	[252.70021166 252.78038664 252.89817523] 0.011211111111111111	[63.55953295 68.74119126 92.87593691] 0.02038888888888889
89	352712.58457042405	[0.60886892 0.97530137 1.54797085] 0.7403	[117.72064358 123.67297137 185.54793672] 0.1715888888888889	[197.19120735 161.25802635 195.40673999] 0.023422222222222223	[51.38816347 55.52401644 80.08762345] 0.012988888888888888	[101.13430597 106.07840311 159.39534576] 0.0517
90	358109.6503257654	[ 4.61462014  7.28207093 11.41037542] 0.5345444444444445	[133.15597388 139.84333753 190.43369423] 0.32704444444444447	[233.42893172 131.0731882  150.86064556] 0.07457777777777778	[253.81364554 253.85391664 253.88047277] 0.03938888888888889	[67.039002   68.99959088 92.01739201] 0.024444444444444446
